afp_name,month,year,found,rentability
CUPRUM,01,2005,A,
HABITAT,01,2005,A,
PLANVITAL,01,2005,A,
PROVIDA,01,2005,A,
SANTA MARIA,01,2005,A,
SUMMA BANSANDER,01,2005,A,
SISTEMA,01,2005,A,
CUPRUM,01,2005,B,
HABITAT,01,2005,B,
PLANVITAL,01,2005,B,
PROVIDA,01,2005,B,
SANTA MARIA,01,2005,B,
SUMMA BANSANDER,01,2005,B,
SISTEMA,01,2005,B,
CUPRUM,01,2005,C,
HABITAT,01,2005,C,
PLANVITAL,01,2005,C,
PROVIDA,01,2005,C,
SANTA MARIA,01,2005,C,
SUMMA BANSANDER,01,2005,C,
SISTEMA,01,2005,C,
CUPRUM,01,2005,D,
HABITAT,01,2005,D,
PLANVITAL,01,2005,D,
PROVIDA,01,2005,D,
SANTA MARIA,01,2005,D,
SUMMA BANSANDER,01,2005,D,
SISTEMA,01,2005,D,
CUPRUM,01,2005,E,
HABITAT,01,2005,E,
PLANVITAL,01,2005,E,
PROVIDA,01,2005,E,
SANTA MARIA,01,2005,E,
SUMMA BANSANDER,01,2005,E,
SISTEMA,01,2005,E,
CUPRUM,02,2005,A,
HABITAT,02,2005,A,
PLANVITAL,02,2005,A,
PROVIDA,02,2005,A,
SANTA MARIA,02,2005,A,
SUMMA BANSANDER,02,2005,A,
SISTEMA,02,2005,A,
CUPRUM,02,2005,B,
HABITAT,02,2005,B,
PLANVITAL,02,2005,B,
PROVIDA,02,2005,B,
SANTA MARIA,02,2005,B,
SUMMA BANSANDER,02,2005,B,
SISTEMA,02,2005,B,
CUPRUM,02,2005,C,
HABITAT,02,2005,C,
PLANVITAL,02,2005,C,
PROVIDA,02,2005,C,
SANTA MARIA,02,2005,C,
SUMMA BANSANDER,02,2005,C,
SISTEMA,02,2005,C,
CUPRUM,02,2005,D,
HABITAT,02,2005,D,
PLANVITAL,02,2005,D,
PROVIDA,02,2005,D,
SANTA MARIA,02,2005,D,
SUMMA BANSANDER,02,2005,D,
SISTEMA,02,2005,D,
CUPRUM,02,2005,E,
HABITAT,02,2005,E,
PLANVITAL,02,2005,E,
PROVIDA,02,2005,E,
SANTA MARIA,02,2005,E,
SUMMA BANSANDER,02,2005,E,
SISTEMA,02,2005,E,
BANSANDER,03,2005,A,
CUPRUM,03,2005,A,
HABITAT,03,2005,A,
PLANVITAL,03,2005,A,
PROVIDA,03,2005,A,
SANTA MARIA,03,2005,A,
SISTEMA,03,2005,A,
BANSANDER,03,2005,B,
CUPRUM,03,2005,B,
HABITAT,03,2005,B,
PLANVITAL,03,2005,B,
PROVIDA,03,2005,B,
SANTA MARIA,03,2005,B,
SISTEMA,03,2005,B,
BANSANDER,03,2005,C,
CUPRUM,03,2005,C,
HABITAT,03,2005,C,
PLANVITAL,03,2005,C,
PROVIDA,03,2005,C,
SANTA MARIA,03,2005,C,
SISTEMA,03,2005,C,
BANSANDER,03,2005,D,
CUPRUM,03,2005,D,
HABITAT,03,2005,D,
PLANVITAL,03,2005,D,
PROVIDA,03,2005,D,
SANTA MARIA,03,2005,D,
SISTEMA,03,2005,D,
BANSANDER,03,2005,E,
CUPRUM,03,2005,E,
HABITAT,03,2005,E,
PLANVITAL,03,2005,E,
PROVIDA,03,2005,E,
SANTA MARIA,03,2005,E,
SISTEMA,03,2005,E,
BANSANDER,04,2005,A,
CUPRUM,04,2005,A,
HABITAT,04,2005,A,
PLANVITAL,04,2005,A,
PROVIDA,04,2005,A,
SANTA MARIA,04,2005,A,
SISTEMA,04,2005,A,
BANSANDER,04,2005,B,
CUPRUM,04,2005,B,
HABITAT,04,2005,B,
PLANVITAL,04,2005,B,
PROVIDA,04,2005,B,
SANTA MARIA,04,2005,B,
SISTEMA,04,2005,B,
BANSANDER,04,2005,C,
CUPRUM,04,2005,C,
HABITAT,04,2005,C,
PLANVITAL,04,2005,C,
PROVIDA,04,2005,C,
SANTA MARIA,04,2005,C,
SISTEMA,04,2005,C,
BANSANDER,04,2005,D,
CUPRUM,04,2005,D,
HABITAT,04,2005,D,
PLANVITAL,04,2005,D,
PROVIDA,04,2005,D,
SANTA MARIA,04,2005,D,
SISTEMA,04,2005,D,
BANSANDER,04,2005,E,
CUPRUM,04,2005,E,
HABITAT,04,2005,E,
PLANVITAL,04,2005,E,
PROVIDA,04,2005,E,
SANTA MARIA,04,2005,E,
SISTEMA,04,2005,E,
BANSANDER,05,2005,A,
CUPRUM,05,2005,A,
HABITAT,05,2005,A,
PLANVITAL,05,2005,A,
PROVIDA,05,2005,A,
SANTA MARIA,05,2005,A,
SISTEMA,05,2005,A,
BANSANDER,05,2005,B,
CUPRUM,05,2005,B,
HABITAT,05,2005,B,
PLANVITAL,05,2005,B,
PROVIDA,05,2005,B,
SANTA MARIA,05,2005,B,
SISTEMA,05,2005,B,
BANSANDER,05,2005,C,
CUPRUM,05,2005,C,
HABITAT,05,2005,C,
PLANVITAL,05,2005,C,
PROVIDA,05,2005,C,
SANTA MARIA,05,2005,C,
SISTEMA,05,2005,C,
BANSANDER,05,2005,D,
CUPRUM,05,2005,D,
HABITAT,05,2005,D,
PLANVITAL,05,2005,D,
PROVIDA,05,2005,D,
SANTA MARIA,05,2005,D,
SISTEMA,05,2005,D,
BANSANDER,05,2005,E,
CUPRUM,05,2005,E,
HABITAT,05,2005,E,
PLANVITAL,05,2005,E,
PROVIDA,05,2005,E,
SANTA MARIA,05,2005,E,
SISTEMA,05,2005,E,
BANSANDER,06,2005,A,
CUPRUM,06,2005,A,
HABITAT,06,2005,A,
PLANVITAL,06,2005,A,
PROVIDA,06,2005,A,
SANTA MARIA,06,2005,A,
SISTEMA,06,2005,A,
BANSANDER,06,2005,B,
CUPRUM,06,2005,B,
HABITAT,06,2005,B,
PLANVITAL,06,2005,B,
PROVIDA,06,2005,B,
SANTA MARIA,06,2005,B,
SISTEMA,06,2005,B,
BANSANDER,06,2005,C,
CUPRUM,06,2005,C,
HABITAT,06,2005,C,
PLANVITAL,06,2005,C,
PROVIDA,06,2005,C,
SANTA MARIA,06,2005,C,
SISTEMA,06,2005,C,
BANSANDER,06,2005,D,
CUPRUM,06,2005,D,
HABITAT,06,2005,D,
PLANVITAL,06,2005,D,
PROVIDA,06,2005,D,
SANTA MARIA,06,2005,D,
SISTEMA,06,2005,D,
BANSANDER,06,2005,E,
CUPRUM,06,2005,E,
HABITAT,06,2005,E,
PLANVITAL,06,2005,E,
PROVIDA,06,2005,E,
SANTA MARIA,06,2005,E,
SISTEMA,06,2005,E,
BANSANDER,07,2005,A,
CUPRUM,07,2005,A,
HABITAT,07,2005,A,
PLANVITAL,07,2005,A,
PROVIDA,07,2005,A,
SANTA MARIA,07,2005,A,
SISTEMA,07,2005,A,
BANSANDER,07,2005,B,
CUPRUM,07,2005,B,
HABITAT,07,2005,B,
PLANVITAL,07,2005,B,
PROVIDA,07,2005,B,
SANTA MARIA,07,2005,B,
SISTEMA,07,2005,B,
BANSANDER,07,2005,C,
CUPRUM,07,2005,C,
HABITAT,07,2005,C,
PLANVITAL,07,2005,C,
PROVIDA,07,2005,C,
SANTA MARIA,07,2005,C,
SISTEMA,07,2005,C,
BANSANDER,07,2005,D,
CUPRUM,07,2005,D,
HABITAT,07,2005,D,
PLANVITAL,07,2005,D,
PROVIDA,07,2005,D,
SANTA MARIA,07,2005,D,
SISTEMA,07,2005,D,
BANSANDER,07,2005,E,
CUPRUM,07,2005,E,
HABITAT,07,2005,E,
PLANVITAL,07,2005,E,
PROVIDA,07,2005,E,
SANTA MARIA,07,2005,E,
SISTEMA,07,2005,E,
BANSANDER,08,2005,A,-0.63
CUPRUM,08,2005,A,-0.62
HABITAT,08,2005,A,-0.84
PLANVITAL,08,2005,A,-0.79
PROVIDA,08,2005,A,-0.6
SANTA MARIA,08,2005,A,-0.6
SISTEMA,08,2005,A,-0.67
BANSANDER,08,2005,B,-0.33
CUPRUM,08,2005,B,-0.56
HABITAT,08,2005,B,-0.57
PLANVITAL,08,2005,B,-0.57
PROVIDA,08,2005,B,-0.39
SANTA MARIA,08,2005,B,-0.45
SISTEMA,08,2005,B,-0.47
BANSANDER,08,2005,C,-0.35
CUPRUM,08,2005,C,-0.31
HABITAT,08,2005,C,-0.37
PLANVITAL,08,2005,C,-0.31
PROVIDA,08,2005,C,-0.26
SANTA MARIA,08,2005,C,-0.28
SISTEMA,08,2005,C,-0.31
BANSANDER,08,2005,D,-0.02
CUPRUM,08,2005,D,0.05
HABITAT,08,2005,D,0.05
PLANVITAL,08,2005,D,0.04
PROVIDA,08,2005,D,0.14
SANTA MARIA,08,2005,D,0.02
SISTEMA,08,2005,D,0.07
BANSANDER,08,2005,E,0.63
CUPRUM,08,2005,E,0.77
HABITAT,08,2005,E,0.76
PLANVITAL,08,2005,E,0.72
PROVIDA,08,2005,E,0.77
SANTA MARIA,08,2005,E,0.73
SISTEMA,08,2005,E,0.75
BANSANDER,09,2005,A,3.26
CUPRUM,09,2005,A,3.03
HABITAT,09,2005,A,3.26
PLANVITAL,09,2005,A,3.15
PROVIDA,09,2005,A,3.44
SANTA MARIA,09,2005,A,2.97
SISTEMA,09,2005,A,3.21
BANSANDER,09,2005,B,2.29
CUPRUM,09,2005,B,2.1
HABITAT,09,2005,B,2.22
PLANVITAL,09,2005,B,2.23
PROVIDA,09,2005,B,2.14
SANTA MARIA,09,2005,B,2.09
SISTEMA,09,2005,B,2.17
BANSANDER,09,2005,C,1.31
CUPRUM,09,2005,C,1.32
HABITAT,09,2005,C,1.16
PLANVITAL,09,2005,C,1.28
PROVIDA,09,2005,C,1.23
SANTA MARIA,09,2005,C,1.13
SISTEMA,09,2005,C,1.22
BANSANDER,09,2005,D,0.57
CUPRUM,09,2005,D,0.6
HABITAT,09,2005,D,0.51
PLANVITAL,09,2005,D,0.65
PROVIDA,09,2005,D,0.39
SANTA MARIA,09,2005,D,0.47
SISTEMA,09,2005,D,0.49
BANSANDER,09,2005,E,-0.47
CUPRUM,09,2005,E,-0.38
HABITAT,09,2005,E,-0.57
PLANVITAL,09,2005,E,-0.39
PROVIDA,09,2005,E,-0.55
SANTA MARIA,09,2005,E,-0.57
SISTEMA,09,2005,E,-0.51
BANSANDER,10,2005,A,-4.27
CUPRUM,10,2005,A,-4.17
HABITAT,10,2005,A,-4.16
PLANVITAL,10,2005,A,-4.34
PROVIDA,10,2005,A,-4.49
SANTA MARIA,10,2005,A,-4.3
SISTEMA,10,2005,A,-4.28
BANSANDER,10,2005,B,-3.72
CUPRUM,10,2005,B,-3.58
HABITAT,10,2005,B,-3.56
PLANVITAL,10,2005,B,-3.75
PROVIDA,10,2005,B,-3.91
SANTA MARIA,10,2005,B,-3.76
SISTEMA,10,2005,B,-3.72
BANSANDER,10,2005,C,-3.19
CUPRUM,10,2005,C,-3.09
HABITAT,10,2005,C,-3.02
PLANVITAL,10,2005,C,-3.31
PROVIDA,10,2005,C,-3.38
SANTA MARIA,10,2005,C,-3.27
SISTEMA,10,2005,C,-3.21
BANSANDER,10,2005,D,-2.63
CUPRUM,10,2005,D,-3.0
HABITAT,10,2005,D,-2.7
PLANVITAL,10,2005,D,-2.9
PROVIDA,10,2005,D,-2.92
SANTA MARIA,10,2005,D,-2.83
SISTEMA,10,2005,D,-2.85
BANSANDER,10,2005,E,-2.51
CUPRUM,10,2005,E,-3.03
HABITAT,10,2005,E,-2.78
PLANVITAL,10,2005,E,-3.17
PROVIDA,10,2005,E,-2.75
SANTA MARIA,10,2005,E,-2.76
SISTEMA,10,2005,E,-2.81
BANSANDER,11,2005,A,2.16
CUPRUM,11,2005,A,2.11
HABITAT,11,2005,A,2.15
PLANVITAL,11,2005,A,2.08
PROVIDA,11,2005,A,2.5
SANTA MARIA,11,2005,A,2.21
SISTEMA,11,2005,A,2.23
BANSANDER,11,2005,B,0.82
CUPRUM,11,2005,B,0.8
HABITAT,11,2005,B,1.0
PLANVITAL,11,2005,B,0.69
PROVIDA,11,2005,B,0.77
SANTA MARIA,11,2005,B,0.81
SISTEMA,11,2005,B,0.84
BANSANDER,11,2005,C,-0.27
CUPRUM,11,2005,C,-0.14
HABITAT,11,2005,C,-0.21
PLANVITAL,11,2005,C,-0.34
PROVIDA,11,2005,C,-0.24
SANTA MARIA,11,2005,C,-0.18
SISTEMA,11,2005,C,-0.22
BANSANDER,11,2005,D,-0.68
CUPRUM,11,2005,D,-0.68
HABITAT,11,2005,D,-0.39
PLANVITAL,11,2005,D,-0.66
PROVIDA,11,2005,D,-0.53
SANTA MARIA,11,2005,D,-0.53
SISTEMA,11,2005,D,-0.54
BANSANDER,11,2005,E,-0.84
CUPRUM,11,2005,E,-0.95
HABITAT,11,2005,E,-0.88
PLANVITAL,11,2005,E,-0.81
PROVIDA,11,2005,E,-0.79
SANTA MARIA,11,2005,E,-0.92
SISTEMA,11,2005,E,-0.87
BANSANDER,12,2005,A,1.8
CUPRUM,12,2005,A,1.64
HABITAT,12,2005,A,1.34
PLANVITAL,12,2005,A,1.49
PROVIDA,12,2005,A,1.85
SANTA MARIA,12,2005,A,1.68
SISTEMA,12,2005,A,1.65
BANSANDER,12,2005,B,1.0
CUPRUM,12,2005,B,0.91
HABITAT,12,2005,B,0.93
PLANVITAL,12,2005,B,0.8
PROVIDA,12,2005,B,0.83
SANTA MARIA,12,2005,B,0.85
SISTEMA,12,2005,B,0.89
BANSANDER,12,2005,C,0.7
CUPRUM,12,2005,C,0.61
HABITAT,12,2005,C,0.6
PLANVITAL,12,2005,C,0.56
PROVIDA,12,2005,C,0.63
SANTA MARIA,12,2005,C,0.53
SISTEMA,12,2005,C,0.61
BANSANDER,12,2005,D,0.65
CUPRUM,12,2005,D,0.51
HABITAT,12,2005,D,0.66
PLANVITAL,12,2005,D,0.42
PROVIDA,12,2005,D,0.39
SANTA MARIA,12,2005,D,0.34
SISTEMA,12,2005,D,0.49
BANSANDER,12,2005,E,1.02
CUPRUM,12,2005,E,0.96
HABITAT,12,2005,E,0.75
PLANVITAL,12,2005,E,0.63
PROVIDA,12,2005,E,0.74
SANTA MARIA,12,2005,E,0.71
SISTEMA,12,2005,E,0.81
BANSANDER,01,2006,A,7.35
CUPRUM,01,2006,A,7.06
HABITAT,01,2006,A,7.03
PLANVITAL,01,2006,A,7.48
PROVIDA,01,2006,A,7.39
SANTA MARIA,01,2006,A,7.37
SISTEMA,01,2006,A,7.22
BANSANDER,01,2006,B,5.51
CUPRUM,01,2006,B,5.29
HABITAT,01,2006,B,5.55
PLANVITAL,01,2006,B,5.48
PROVIDA,01,2006,B,5.38
SANTA MARIA,01,2006,B,5.64
SISTEMA,01,2006,B,5.46
BANSANDER,01,2006,C,4.23
CUPRUM,01,2006,C,4.02
HABITAT,01,2006,C,4.35
PLANVITAL,01,2006,C,4.27
PROVIDA,01,2006,C,4.25
SANTA MARIA,01,2006,C,4.38
SISTEMA,01,2006,C,4.25
BANSANDER,01,2006,D,2.87
CUPRUM,01,2006,D,2.84
HABITAT,01,2006,D,3.13
PLANVITAL,01,2006,D,2.96
PROVIDA,01,2006,D,2.73
SANTA MARIA,01,2006,D,3.07
SISTEMA,01,2006,D,2.9
BANSANDER,01,2006,E,1.6
CUPRUM,01,2006,E,1.81
HABITAT,01,2006,E,2.03
PLANVITAL,01,2006,E,1.88
PROVIDA,01,2006,E,1.76
SANTA MARIA,01,2006,E,1.75
SISTEMA,01,2006,E,1.83
BANSANDER,02,2006,A,0.68
CUPRUM,02,2006,A,0.75
HABITAT,02,2006,A,0.73
PLANVITAL,02,2006,A,0.68
PROVIDA,02,2006,A,0.74
SANTA MARIA,02,2006,A,0.67
SISTEMA,02,2006,A,0.72
BANSANDER,02,2006,B,0.8
CUPRUM,02,2006,B,0.75
HABITAT,02,2006,B,0.78
PLANVITAL,02,2006,B,0.87
PROVIDA,02,2006,B,0.82
SANTA MARIA,02,2006,B,0.83
SISTEMA,02,2006,B,0.8
BANSANDER,02,2006,C,0.65
CUPRUM,02,2006,C,0.61
HABITAT,02,2006,C,0.65
PLANVITAL,02,2006,C,0.76
PROVIDA,02,2006,C,0.72
SANTA MARIA,02,2006,C,0.65
SISTEMA,02,2006,C,0.67
BANSANDER,02,2006,D,0.58
CUPRUM,02,2006,D,0.6
HABITAT,02,2006,D,0.66
PLANVITAL,02,2006,D,0.74
PROVIDA,02,2006,D,0.66
SANTA MARIA,02,2006,D,0.64
SISTEMA,02,2006,D,0.64
BANSANDER,02,2006,E,0.38
CUPRUM,02,2006,E,0.49
HABITAT,02,2006,E,0.42
PLANVITAL,02,2006,E,0.35
PROVIDA,02,2006,E,0.36
SANTA MARIA,02,2006,E,0.35
SISTEMA,02,2006,E,0.4
BANSANDER,03,2006,A,1.39
CUPRUM,03,2006,A,1.27
HABITAT,03,2006,A,1.44
PLANVITAL,03,2006,A,1.45
PROVIDA,03,2006,A,1.25
SANTA MARIA,03,2006,A,1.35
SISTEMA,03,2006,A,1.34
BANSANDER,03,2006,B,1.26
CUPRUM,03,2006,B,1.14
HABITAT,03,2006,B,1.18
PLANVITAL,03,2006,B,1.3
PROVIDA,03,2006,B,1.3
SANTA MARIA,03,2006,B,1.31
SISTEMA,03,2006,B,1.24
BANSANDER,03,2006,C,1.06
CUPRUM,03,2006,C,0.98
HABITAT,03,2006,C,1.02
PLANVITAL,03,2006,C,1.04
PROVIDA,03,2006,C,1.03
SANTA MARIA,03,2006,C,1.07
SISTEMA,03,2006,C,1.03
BANSANDER,03,2006,D,0.76
CUPRUM,03,2006,D,0.65
HABITAT,03,2006,D,0.66
PLANVITAL,03,2006,D,0.7
PROVIDA,03,2006,D,0.65
SANTA MARIA,03,2006,D,0.67
SISTEMA,03,2006,D,0.67
BANSANDER,03,2006,E,0.37
CUPRUM,03,2006,E,0.27
HABITAT,03,2006,E,0.12
PLANVITAL,03,2006,E,0.19
PROVIDA,03,2006,E,0.25
SANTA MARIA,03,2006,E,0.25
SISTEMA,03,2006,E,0.23
BANSANDER,04,2006,A,3.43
CUPRUM,04,2006,A,3.19
HABITAT,04,2006,A,3.07
PLANVITAL,04,2006,A,3.1
PROVIDA,04,2006,A,3.3
SANTA MARIA,04,2006,A,3.23
SISTEMA,04,2006,A,3.23
BANSANDER,04,2006,B,2.46
CUPRUM,04,2006,B,2.18
HABITAT,04,2006,B,2.24
PLANVITAL,04,2006,B,2.26
PROVIDA,04,2006,B,2.24
SANTA MARIA,04,2006,B,2.25
SISTEMA,04,2006,B,2.26
BANSANDER,04,2006,C,1.55
CUPRUM,04,2006,C,1.37
HABITAT,04,2006,C,1.35
PLANVITAL,04,2006,C,1.52
PROVIDA,04,2006,C,1.38
SANTA MARIA,04,2006,C,1.43
SISTEMA,04,2006,C,1.4
BANSANDER,04,2006,D,0.87
CUPRUM,04,2006,D,0.78
HABITAT,04,2006,D,0.73
PLANVITAL,04,2006,D,0.83
PROVIDA,04,2006,D,0.73
SANTA MARIA,04,2006,D,0.76
SISTEMA,04,2006,D,0.76
BANSANDER,04,2006,E,0.02
CUPRUM,04,2006,E,0.0
HABITAT,04,2006,E,0.18
PLANVITAL,04,2006,E,0.27
PROVIDA,04,2006,E,0.05
SANTA MARIA,04,2006,E,0.06
SISTEMA,04,2006,E,0.08
BANSANDER,05,2006,A,-4.04
CUPRUM,05,2006,A,-3.84
HABITAT,05,2006,A,-3.96
PLANVITAL,05,2006,A,-3.9
PROVIDA,05,2006,A,-4.02
SANTA MARIA,05,2006,A,-3.74
SISTEMA,05,2006,A,-3.94
BANSANDER,05,2006,B,-3.31
CUPRUM,05,2006,B,-2.96
HABITAT,05,2006,B,-3.15
PLANVITAL,05,2006,B,-3.16
PROVIDA,05,2006,B,-3.14
SANTA MARIA,05,2006,B,-3.18
SISTEMA,05,2006,B,-3.14
BANSANDER,05,2006,C,-2.35
CUPRUM,05,2006,C,-1.95
HABITAT,05,2006,C,-2.32
PLANVITAL,05,2006,C,-2.16
PROVIDA,05,2006,C,-2.13
SANTA MARIA,05,2006,C,-2.16
SISTEMA,05,2006,C,-2.17
BANSANDER,05,2006,D,-1.53
CUPRUM,05,2006,D,-1.13
HABITAT,05,2006,D,-1.49
PLANVITAL,05,2006,D,-1.32
PROVIDA,05,2006,D,-1.22
SANTA MARIA,05,2006,D,-1.32
SISTEMA,05,2006,D,-1.31
BANSANDER,05,2006,E,-0.22
CUPRUM,05,2006,E,-0.05
HABITAT,05,2006,E,-0.35
PLANVITAL,05,2006,E,-0.33
PROVIDA,05,2006,E,-0.26
SANTA MARIA,05,2006,E,-0.27
SISTEMA,05,2006,E,-0.24
BANSANDER,06,2006,A,-3.52
CUPRUM,06,2006,A,-3.48
HABITAT,06,2006,A,-3.66
PLANVITAL,06,2006,A,-3.33
PROVIDA,06,2006,A,-3.44
SANTA MARIA,06,2006,A,-3.51
SISTEMA,06,2006,A,-3.52
BANSANDER,06,2006,B,-2.59
CUPRUM,06,2006,B,-2.49
HABITAT,06,2006,B,-2.74
PLANVITAL,06,2006,B,-2.6
PROVIDA,06,2006,B,-2.53
SANTA MARIA,06,2006,B,-2.55
SISTEMA,06,2006,B,-2.59
BANSANDER,06,2006,C,-1.52
CUPRUM,06,2006,C,-1.4
HABITAT,06,2006,C,-1.69
PLANVITAL,06,2006,C,-1.65
PROVIDA,06,2006,C,-1.56
SANTA MARIA,06,2006,C,-1.55
SISTEMA,06,2006,C,-1.56
BANSANDER,06,2006,D,-0.79
CUPRUM,06,2006,D,-0.72
HABITAT,06,2006,D,-0.85
PLANVITAL,06,2006,D,-0.8
PROVIDA,06,2006,D,-0.91
SANTA MARIA,06,2006,D,-0.85
SISTEMA,06,2006,D,-0.84
BANSANDER,06,2006,E,0.03
CUPRUM,06,2006,E,0.12
HABITAT,06,2006,E,0.06
PLANVITAL,06,2006,E,0.1
PROVIDA,06,2006,E,-0.04
SANTA MARIA,06,2006,E,-0.03
SISTEMA,06,2006,E,0.03
BANSANDER,07,2006,A,2.42
CUPRUM,07,2006,A,2.52
HABITAT,07,2006,A,2.42
PLANVITAL,07,2006,A,2.3
PROVIDA,07,2006,A,2.25
SANTA MARIA,07,2006,A,2.41
SISTEMA,07,2006,A,2.4
BANSANDER,07,2006,B,1.98
CUPRUM,07,2006,B,2.02
HABITAT,07,2006,B,1.93
PLANVITAL,07,2006,B,1.85
PROVIDA,07,2006,B,1.78
SANTA MARIA,07,2006,B,1.91
SISTEMA,07,2006,B,1.9
BANSANDER,07,2006,C,1.55
CUPRUM,07,2006,C,1.51
HABITAT,07,2006,C,1.61
PLANVITAL,07,2006,C,1.45
PROVIDA,07,2006,C,1.48
SANTA MARIA,07,2006,C,1.54
SISTEMA,07,2006,C,1.53
BANSANDER,07,2006,D,1.23
CUPRUM,07,2006,D,1.19
HABITAT,07,2006,D,1.24
PLANVITAL,07,2006,D,1.1
PROVIDA,07,2006,D,1.09
SANTA MARIA,07,2006,D,1.21
SISTEMA,07,2006,D,1.17
BANSANDER,07,2006,E,1.02
CUPRUM,07,2006,E,0.99
HABITAT,07,2006,E,1.04
PLANVITAL,07,2006,E,0.99
PROVIDA,07,2006,E,0.93
SANTA MARIA,07,2006,E,0.98
SISTEMA,07,2006,E,0.99
BANSANDER,08,2006,A,1.63
CUPRUM,08,2006,A,1.72
HABITAT,08,2006,A,1.54
PLANVITAL,08,2006,A,1.63
PROVIDA,08,2006,A,1.61
SANTA MARIA,08,2006,A,1.6
SISTEMA,08,2006,A,1.63
BANSANDER,08,2006,B,1.31
CUPRUM,08,2006,B,1.44
HABITAT,08,2006,B,1.3
PLANVITAL,08,2006,B,1.31
PROVIDA,08,2006,B,1.29
SANTA MARIA,08,2006,B,1.28
SISTEMA,08,2006,B,1.32
BANSANDER,08,2006,C,0.99
CUPRUM,08,2006,C,1.08
HABITAT,08,2006,C,1.1
PLANVITAL,08,2006,C,1.03
PROVIDA,08,2006,C,0.98
SANTA MARIA,08,2006,C,0.96
SISTEMA,08,2006,C,1.02
BANSANDER,08,2006,D,0.69
CUPRUM,08,2006,D,0.76
HABITAT,08,2006,D,0.86
PLANVITAL,08,2006,D,0.67
PROVIDA,08,2006,D,0.69
SANTA MARIA,08,2006,D,0.65
SISTEMA,08,2006,D,0.73
BANSANDER,08,2006,E,0.68
CUPRUM,08,2006,E,0.62
HABITAT,08,2006,E,0.7
PLANVITAL,08,2006,E,0.52
PROVIDA,08,2006,E,0.67
SANTA MARIA,08,2006,E,0.49
SISTEMA,08,2006,E,0.65
BANSANDER,09,2006,A,0.91
CUPRUM,09,2006,A,0.98
HABITAT,09,2006,A,1.06
PLANVITAL,09,2006,A,0.97
PROVIDA,09,2006,A,0.9
SANTA MARIA,09,2006,A,0.97
SISTEMA,09,2006,A,0.96
BANSANDER,09,2006,B,0.95
CUPRUM,09,2006,B,1.03
HABITAT,09,2006,B,1.04
PLANVITAL,09,2006,B,1.04
PROVIDA,09,2006,B,1.02
SANTA MARIA,09,2006,B,1.05
SISTEMA,09,2006,B,1.02
BANSANDER,09,2006,C,0.91
CUPRUM,09,2006,C,0.93
HABITAT,09,2006,C,1.03
PLANVITAL,09,2006,C,0.87
PROVIDA,09,2006,C,0.9
SANTA MARIA,09,2006,C,0.92
SISTEMA,09,2006,C,0.94
BANSANDER,09,2006,D,0.73
CUPRUM,09,2006,D,0.75
HABITAT,09,2006,D,0.9
PLANVITAL,09,2006,D,0.66
PROVIDA,09,2006,D,0.68
SANTA MARIA,09,2006,D,0.69
SISTEMA,09,2006,D,0.74
BANSANDER,09,2006,E,0.47
CUPRUM,09,2006,E,0.54
HABITAT,09,2006,E,0.52
PLANVITAL,09,2006,E,0.24
PROVIDA,09,2006,E,0.26
SANTA MARIA,09,2006,E,0.23
SISTEMA,09,2006,E,0.4
BANSANDER,10,2006,A,3.05
CUPRUM,10,2006,A,2.87
HABITAT,10,2006,A,3.17
PLANVITAL,10,2006,A,3.19
PROVIDA,10,2006,A,2.94
SANTA MARIA,10,2006,A,3.03
SISTEMA,10,2006,A,3.01
BANSANDER,10,2006,B,2.79
CUPRUM,10,2006,B,2.58
HABITAT,10,2006,B,2.82
PLANVITAL,10,2006,B,2.91
PROVIDA,10,2006,B,2.69
SANTA MARIA,10,2006,B,2.78
SISTEMA,10,2006,B,2.73
BANSANDER,10,2006,C,2.36
CUPRUM,10,2006,C,2.11
HABITAT,10,2006,C,2.43
PLANVITAL,10,2006,C,2.32
PROVIDA,10,2006,C,2.16
SANTA MARIA,10,2006,C,2.23
SISTEMA,10,2006,C,2.25
BANSANDER,10,2006,D,1.99
CUPRUM,10,2006,D,1.57
HABITAT,10,2006,D,1.98
PLANVITAL,10,2006,D,1.76
PROVIDA,10,2006,D,1.8
SANTA MARIA,10,2006,D,1.7
SISTEMA,10,2006,D,1.8
BANSANDER,10,2006,E,1.62
CUPRUM,10,2006,E,1.34
HABITAT,10,2006,E,1.24
PLANVITAL,10,2006,E,1.32
PROVIDA,10,2006,E,1.35
SANTA MARIA,10,2006,E,1.24
SISTEMA,10,2006,E,1.33
BANSANDER,11,2006,A,3.02
CUPRUM,11,2006,A,2.8
HABITAT,11,2006,A,2.88
PLANVITAL,11,2006,A,2.87
PROVIDA,11,2006,A,3.06
SANTA MARIA,11,2006,A,2.84
SISTEMA,11,2006,A,2.93
BANSANDER,11,2006,B,2.65
CUPRUM,11,2006,B,2.51
HABITAT,11,2006,B,2.56
PLANVITAL,11,2006,B,2.68
PROVIDA,11,2006,B,2.66
SANTA MARIA,11,2006,B,2.51
SISTEMA,11,2006,B,2.59
BANSANDER,11,2006,C,2.41
CUPRUM,11,2006,C,2.3
HABITAT,11,2006,C,2.31
PLANVITAL,11,2006,C,2.27
PROVIDA,11,2006,C,2.34
SANTA MARIA,11,2006,C,2.26
SISTEMA,11,2006,C,2.32
BANSANDER,11,2006,D,1.8
CUPRUM,11,2006,D,1.61
HABITAT,11,2006,D,1.8
